city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Natal,20,BR,1538150400,51,-5.81,-35.21,86.0,20.8
Coquimbo,0,CL,1538150400,77,-29.95,-71.34,59.0,13.87
Sangar,0,RU,1538154187,82,63.92,127.47,32.87,5.37
Meulaboh,64,ID,1538154188,100,4.14,96.13,80.03,5.48
Kiama,40,AU,1538150400,87,-34.67,150.86,51.8,6.93
Arman,90,RU,1538150400,93,59.7,150.17,51.8,15.66
The Valley,20,AI,1538150400,62,18.22,-63.06,87.8,17.22
Ranong,68,TH,1538154189,100,9.96,98.62,81.29,3.8
Beyneu,0,KZ,1538154189,74,45.32,55.19,51.05,2.91
Kharovsk,92,RU,1538154189,97,59.95,40.21,41.6,9.95
Korla,88,CN,1538154189,82,41.76,86.15,47.54,2.68
Yarada,0,IN,1538154147,96,17.65,83.27,86.06,7.72
Tabas,0,IR,1538154190,42,33.6,56.92,57.8,2.68
Dargaville,68,NZ,1538154190,76,-35.94,173.86,45.38,3.58
Chuguyevka,64,RU,1538154191,84,44.17,133.87,39.62,2.24
Port Lincoln,24,AU,1538154191,100,-34.72,135.86,47.36,6.38
Bintulu,75,MY,1538150400,100,3.17,113.03,77.0,4.7
Kichera,0,RU,1538154191,94,55.93,110.1,33.59,5.37
Karatau,0,KZ,1538154191,72,43.18,70.46,48.89,1.68
Srednekolymsk,68,RU,1538153834,79,67.46,153.71,25.31,5.93
Smila,0,UA,1538154192,87,49.23,31.88,52.94,8.5
Thinadhoo,88,MV,1538154192,100,0.53,72.93,80.21,21.47
Sile,40,TR,1538151600,77,41.18,29.61,66.2,14.99
Moose Factory,90,CA,1538152020,93,51.26,-80.61,39.2,18.34
Nouadhibou,8,MR,1538150400,61,20.93,-17.03,78.8,20.8
Buala,88,SB,1538154193,100,-8.15,159.59,78.77,6.6
Zhirnovsk,0,RU,1538154193,69,50.98,44.78,51.86,12.53
Falun,0,SE,1538151600,42,60.61,15.63,46.4,13.87
Shaunavon,12,CA,1538154193,83,49.65,-108.41,44.57,4.59
Umm Lajj,24,SA,1538154193,86,25.02,37.27,85.34,11.41
Rocha,92,UY,1538154193,90,-34.48,-54.34,63.38,15.21
Ferry Pass,20,US,1538152620,63,30.51,-87.21,87.08,4.7
Lethem,0,GY,1538154194,91,3.38,-59.8,88.76,9.17
Anadyr,0,RU,1538150400,80,64.73,177.51,41.0,22.37
Tobane,0,BW,1538150400,26,-21.91,28.04,91.4,5.82
Mosquera,75,CO,1538150400,35,4.71,-74.23,69.8,16.11
Rio Branco,20,BR,1538150400,48,-9.98,-67.82,87.8,6.93
Bathsheba,40,BB,1538150400,83,13.22,-59.52,82.4,19.46
Atar,0,MR,1538154196,12,20.52,-13.05,100.55,5.14
Llanes,32,ES,1538154196,78,43.42,-4.75,64.64,1.68
Ust-Kuyga,76,RU,1538154196,89,70.0,135.55,28.1,6.71
Imbituba,75,BR,1538150400,83,-28.24,-48.67,73.4,8.05
Nelson Bay,40,AU,1538152200,88,-32.72,152.14,62.6,17.22
Hobyo,20,SO,1538154198,86,5.35,48.53,78.5,14.2
Anupshahr,0,IN,1538154198,87,28.36,78.27,73.55,2.8
Kruisfontein,0,ZA,1538154199,77,-34.0,24.73,62.48,28.41
Paris,1,US,1538152500,68,36.3,-88.33,68.0,3.36
Roebourne,0,AU,1538154199,83,-20.77,117.15,58.88,3.13
Cooma,32,AU,1538154200,88,-36.24,149.13,35.3,3.24
Kerman,0,IR,1538150400,12,30.29,57.06,69.8,4.7
Presidencia Roque Saenz Pena,0,AR,1538154201,70,-26.79,-60.44,89.3,13.53
San Roque,32,PH,1538154201,98,12.54,124.87,82.82,14.65
Panlaitan,80,PH,1538154201,94,12.12,119.85,81.65,9.73
Saskylakh,8,RU,1538154202,84,71.97,114.09,24.05,3.58
Auki,88,SB,1538154202,100,-8.77,160.7,78.05,6.93
Adrar,75,DZ,1538150400,42,27.87,-0.29,82.4,21.92
Henties Bay,0,NA,1538154203,86,-22.12,14.28,59.96,6.15
Etchojoa,5,MX,1538149260,66,26.91,-109.62,84.2,3.36
Vila Velha,20,BR,1538150400,48,-3.71,-38.6,87.8,19.46
Sturgeon Falls,90,CA,1538150400,93,46.36,-79.93,51.8,12.75
Port Arthur,90,US,1538152500,94,29.9,-93.93,78.98,5.82
Presidente Epitacio,32,BR,1538154204,59,-21.76,-52.12,89.93,1.9
Asyut,0,EG,1538150400,36,27.18,31.19,91.4,11.41
Bilma,0,NE,1538154205,17,18.69,12.92,86.87,5.48
Aranda de Duero,0,ES,1538154205,44,41.67,-3.69,67.16,5.93
Novyy Urengoy,0,RU,1538154205,68,66.08,76.63,54.02,19.91
Vredendal,0,ZA,1538154206,58,-31.68,18.49,57.62,8.28
Ola,90,RU,1538150400,93,59.58,151.3,51.8,15.66
Bethel,75,US,1538149980,89,60.79,-161.76,53.96,10.29
Quatre Cocos,40,MU,1538150400,69,-20.21,57.76,73.4,13.87
Half Moon Bay,90,US,1538152500,87,37.46,-122.43,60.08,3.36
Lavrentiya,80,RU,1538154207,89,65.58,-170.99,44.66,26.73
Ayr,0,AU,1538154207,100,-19.58,147.4,64.91,6.49
Namibe,0,AO,1538154208,100,-15.19,12.15,68.33,4.7
Naron,40,ES,1538150400,82,43.52,-8.15,68.0,4.7
Awjilah,0,LY,1538154208,38,29.14,21.3,70.85,6.15
Xinzhou,0,CN,1538154208,68,38.41,112.73,36.92,4.14
Chara,12,RU,1538154209,90,56.9,118.26,28.55,2.13
Mayumba,92,GA,1538154209,94,-3.44,10.65,75.98,8.05
La Orilla,0,MX,1538154209,63,18.0,-102.23,91.64,2.68
Kalengwa,8,ZM,1538154209,33,-13.47,25.0,76.25,8.16
Kirkwall,40,GB,1538153400,81,58.98,-2.96,50.0,13.87
