city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Siva,88,RU,1540435529,89,56.42,50.83,42.4,15.61
Souillac,40,MU,1540432800,82,-20.52,57.52,68.0,2.24
Pevek,48,RU,1540435529,100,69.7,170.27,18.86,11.14
General Cepeda,40,MX,1540431600,59,25.38,-101.48,62.6,2.42
Sayat,0,TM,1540436400,43,38.78,63.88,50.0,9.17
Ponta do Sol,75,PT,1540434600,64,32.67,-17.1,69.8,3.36
Vestmanna,88,FO,1540434000,93,62.16,-7.17,44.6,12.75
Coalinga,75,US,1540432560,45,36.14,-120.36,71.6,3.36
Kyra,88,RU,1540435530,78,49.58,111.97,29.25,12.59
Ostrovnoy,24,RU,1540435530,92,68.05,39.51,19.31,2.75
Ancud,0,CL,1540435530,88,-41.87,-73.83,42.71,4.21
Luderitz,0,NA,1540432800,57,-26.65,15.16,75.2,2.24
Praia,56,CV,1540432800,74,14.92,-23.51,78.8,11.41
Provideniya,90,RU,1540432800,74,64.42,-173.23,37.4,20.13
Pinsk,56,BY,1540435531,92,52.11,26.1,36.5,14.72
Alofi,92,NU,1540435531,100,-19.06,-169.92,73.18,33.62
Puerto Escondido,40,MX,1540431600,74,15.86,-97.07,82.4,9.8
Lorengau,100,PG,1540435532,96,-2.02,147.27,85.19,9.24
Cabo San Lucas,5,MX,1540431840,73,22.89,-109.91,78.8,12.75
Atambua,0,ID,1540435532,78,-9.11,124.89,86.72,7.23
Port Shepstone,0,ZA,1540435532,87,-30.74,30.45,65.7,7.45
Nanortalik,0,GL,1540435532,100,60.14,-45.24,32.18,20.98
Maldonado,90,UY,1540432800,87,-34.91,-54.96,57.2,6.93
Wewak,48,PG,1540435532,91,-3.55,143.63,82.04,2.42
Las Lomas,8,PE,1540435533,74,-4.66,-80.24,68.18,5.99
Pisco,75,PE,1540432800,88,-13.71,-76.2,62.6,10.29
Bahia de Caraquez,75,EC,1540432800,88,-0.6,-80.42,71.6,11.41
Lazaro Cardenas,40,MX,1540431660,77,28.39,-105.62,64.4,6.93
Ngunguru,80,NZ,1540435533,93,-35.62,174.5,62.87,13.04
Moose Factory,90,CA,1540433220,96,51.26,-80.61,32.0,3.98
